登ります;のぼります［やまに～］;noborimasu[yamani~];climb [a mountain] (I)
泊まります;とまります［ホテルに～］;tomarimasu[hoteruni~];stay [at a hotel] (I)
掃除します;そうじします;soujishimasu;clean (a room) (III)
洗濯します;せんたくします;sentakushimasu;wash (clothes) (III)
練習します;れんしゅうします;renshuushimasu;practice (III)
なります;なります;narimasu;become (I)
眠い;ねむい;nemui;sleepy
強い;つよい;tsuyoi;strong
弱い;よわい;yowai;weak 
調子がいい;ちょうしがいい;choushigaii;be in good condition
調子が悪い;ちょうしがわるい;choushigawarui;be in bad condition
調子;ちょうし;choushi;condition
ゴルフ;ゴルフ;gorufu;golf 
相撲;すもう;sumou;sumo wrestling
パチンコ;パチンコ;pachinko;pinball game (～をします: play pachinko)
お茶;おちゃ;ocha;tea ceremony
日;ひ;hi;day, date
いちど;いちど;ichido;once
いちども;いちども;ichidomo;not once, never (used with negatives)
だんだん;だんだん;dandan;gradually
もうすぐ;もうすぐ;mousugu;soon
おかげさまで;おかげさまで;okagesamade;Thank you. (used when expressing gratitude for help received.)
乾杯;かんぱい;kanpai;Bottoms up./Cheers!
実は;じつは;jitsuha;actually, to tell the truth
ダイエット;ダイエット;daietto;diet (～をします: go on a diet)
何回も;なんかいも;nankaimo;many times
しかし;しかし;shikashi;but, however 
無理［な］;むり［な］;muri[na];excessive, impossible
体にいい;からだにいい;karada ni ii;good for one's health
ケーキ;ケーキ;kêki;cake
