思う;おもいます;omoimasu;think (I)
言う;いいます;iimasu;say (I)
足る;たります;tarimasu;be enough, be sufficient (II)
勝つ;かちます;kachimasu;win (I)
負ける;まけます;makemasu;lose, be beaten (II)
ある;あります［おまつりが～］;arimasu[omatsuriga~];[a festival] be held,take place (I)
役に立ちます;やくにたちます;yakunitachimasu;be useful (I)
無駄な;むだ［な］;muda[na];wasteful
不便［な］;ふべん［な］;fuben[na];inconvenient
同じ;おなじ;onaji;the same
凄い;すごい;sugoi;awful, great (expresses astonishment or admiration)
首相;しゅしょう;shushou;prime minister 
大統領;だいとうりょう;daitouryou;president
政治;せいじ;seiji;politics
ニュース;ニュース;nyûsu;news
スピーチ;スピーチ;supîchi;speech (～をします:make a speech)
試合;しあい;shiai;game, match
アルバイト;アルバイト;arubaito;side job (～をします:work part time)
意見;いけん;iken;opinion
［お］話;［お］はなし;[o]hanashi;talk, speech, what one says, story (～をします: talk, tell a story)
ユーモア;ユーモア;yûmoa;humor 
無駄;むだ;muda;waste
デザイン;デザイン;dezain;design
交通;こうつう;koutsuu;transportation, traffic
ラッシュ;ラッシュ;rasshu;rush hour 
最近;さいきん;saikin;recently, these days
多分;たぶん;tabun;probably, perhaps,maybe
きっと;きっと;kitto;surely
本当;ほんとうに;hontouni;really
そんな;そんなに;sonnani;not so much (used with negatives)
～について;～について;~nitsuite;about ~, concerning ~
しかたがない;しかたがありません。;shikatagaarimasen;There is no other choice. / It can't be helped.
暫くですね;しばらくですね。;shibaraku desu ne;It's been a long time(since I last saw you). / Long time no see.
～でも野みませんか。;～でものみませんか。;~demo nomimasen ka;How about drinking ~or something?
見ないと。。。。;みないと。。。。;minaito...;I've got to watch it.
勿論;もちろん;mochiron;of course
