考えます;かんがえます;kangaemasu;think, consider (II)
着きます;つきます［えきに～］;ukimasu [eki ni~];arrive [at thestation] (I)
留学します;りゅうがくします;ryuugakushimasu;study abroad(III)
取ります;とります［としを～］;torimasi [toshi o~];grow old (I)
田舎;いなか;inaka;countryside,hometown
大使館;たいしかん;taishikan;embassy
グループ;グループ;gurûpu;group
チャンス;チャンス;chansu;chance
億;おく;oku;hundred million
もし［～たら］;もし［～たら］;moshi [~tara];if ~
いくら［～でも］;いくら［～でも］;ikura [~demo];however ~,even if ~
転勤;てんきん;tenkin;transfer (～します: be transferred to another office)
こと;こと;koto;thing, matter (～のこと:thing about ~)
一杯飲みましょう。;いっぱいのみましょう。;ippainomimashou;Let's have a drink together.
［いろいろ］お世話になりました。;［いろいろ］おせわになりました。;[iroiro]osewaninaramashita;Thank you for everything you have done for me.
頑張ります;がんばります;ganbarimasu;do one's best(I)
どうぞお元気で。;どうぞおげんきで。;douzo ogenki de;Best of luck.(said when expecting along separation)
